40
0	1
0	7
0	8
0	14
0	15
0	17
0	18
0	22
0	23
0	36
0	39
1	7
1	9
1	15
1	16
1	26
1	27
1	30
1	37
2	3
2	7
2	12
2	17
2	18
2	19
2	20
2	23
2	24
2	25
2	29
2	32
2	33
2	36
3	2
3	6
3	23
3	26
4	0
4	1
4	7
4	10
4	13
4	14
4	20
4	23
4	39
5	2
5	6
5	8
5	15
5	17
5	18
5	19
5	34
5	38
6	0
6	5
6	9
6	10
6	12
6	14
6	21
6	26
6	30
6	39
7	0
7	3
7	13
7	14
7	15
7	20
7	22
7	33
7	36
8	2
8	7
8	10
8	15
8	16
8	17
8	19
8	24
8	29
8	32
8	36
8	37
8	39
9	6
9	8
9	10
9	13
9	14
9	18
9	27
9	28
9	33
9	34
10	1
10	7
10	12
10	17
10	21
10	36
10	39
11	0
11	5
11	7
11	10
11	25
11	31
11	32
11	35
12	9
12	15
12	19
12	21
12	29
12	33
13	0
13	4
13	6
13	8
13	9
13	10
13	11
13	14
13	21
13	34
13	37
14	4
14	9
14	16
14	19
14	25
14	27
14	28
14	36
14	37
14	38
14	39
15	6
15	7
15	10
15	14
15	23
15	24
15	26
15	27
15	29
15	30
15	36
15	37
16	1
16	3
16	6
16	7
16	9
16	30
16	33
16	35
17	1
17	7
17	22
17	24
17	25
17	26
17	30
17	32
17	33
17	37
17	39
18	10
18	14
18	17
18	20
18	28
18	31
18	34
18	37
19	2
19	5
19	8
19	10
19	11
19	12
19	17
19	20
19	21
19	24
19	33
19	34
19	35
19	39
20	6
20	10
20	15
20	17
20	21
20	24
20	25
20	30
20	31
20	33
20	35
21	0
21	1
21	2
21	6
21	13
21	15
21	18
21	19
21	20
21	32
21	33
21	35
22	0
22	1
22	24
22	25
22	28
22	29
22	36
22	39
23	6
23	8
23	11
23	18
23	27
23	28
23	34
24	3
24	4
24	5
24	8
24	11
24	12
24	15
24	20
24	21
24	32
24	37
25	2
25	3
25	9
25	13
25	16
25	18
25	19
25	21
25	24
25	26
25	28
25	31
25	33
26	5
26	10
26	11
26	15
26	19
26	22
26	24
26	28
26	31
26	34
26	36
26	37
27	1
27	5
27	6
27	8
27	11
27	16
27	18
27	21
27	25
27	26
27	28
27	29
27	35
28	0
28	2
28	4
28	7
28	8
28	9
28	11
28	14
28	22
28	25
28	27
28	30
29	3
29	5
29	9
29	12
29	16
29	20
29	21
29	22
29	30
29	31
29	34
30	2
30	5
30	7
30	9
30	11
30	22
30	24
30	28
30	31
30	34
30	35
30	38
31	2
31	8
31	11
31	12
31	20
31	21
31	23
31	24
31	27
31	29
31	30
31	35
32	0
32	13
32	16
32	18
32	19
32	30
32	31
32	37
32	39
33	3
33	7
33	11
33	12
33	14
33	15
33	21
33	24
33	26
33	31
34	0
34	2
34	9
34	18
34	19
34	21
34	23
34	25
34	27
34	29
34	31
34	37
35	2
35	7
35	8
35	10
35	16
35	18
35	20
35	21
35	31
35	36
35	38
36	1
36	6
36	14
36	22
36	26
36	31
36	33
36	37
37	0
37	8
37	11
37	26
37	30
37	33
37	34
38	1
38	2
38	3
38	4
38	16
38	19
38	32
38	34
38	37
39	3
39	5
39	6
39	7
39	24
39	35
39	37
